,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-03-01,2056.52002,2086.52002,2046.0999760000002,2081.51001,2081.51001,1404500
1,2021-03-02,2076.189941,2104.3701170000004,2071.26001,2075.840088,2075.840088,1134600
2,2021-03-03,2067.209961,2088.518066,2010.0,2026.709961,2026.709961,1484200
3,2021-03-04,2023.369995,2089.23999,2020.27002,2049.090088,2049.090088,2118000
4,2021-03-05,2073.1201170000004,2118.110107,2046.415039,2108.540039,2108.540039,2195200
5,2021-03-08,2101.1298829999996,2128.810059,2021.609985,2024.1700440000002,2024.1700440000002,1647400
6,2021-03-09,2070.0,2078.040039,2047.8299559999998,2052.699951,2052.699951,1697300
7,2021-03-10,2071.76001,2075.0,2033.369995,2055.030029,2055.030029,1268600
8,2021-03-11,2074.060059,2125.699951,2072.3798829999996,2114.77002,2114.77002,1239100
9,2021-03-12,2085.0,2090.26001,2047.550049,2061.919922,2061.919922,1725800
10,2021-03-15,2062.300049,2067.060059,2043.5100100000002,2066.48999,2066.48999,1298100
11,2021-03-16,2078.98999,2123.560059,2070.0,2092.52002,2092.52002,1491600
12,2021-03-17,2076.030029,2109.780029,2054.0,2091.080078,2091.080078,1299000
13,2021-03-18,2061.0,2075.5,2033.550049,2036.219971,2036.219971,1361400
14,2021-03-19,2042.050049,2053.100098,2017.680054,2043.199951,2043.199951,2314900
15,2021-03-22,2041.839966,2057.98999,2026.069946,2038.589966,2038.589966,1954800
16,2021-03-23,2051.699951,2072.302002,2039.219971,2052.959961,2052.959961,1367000
17,2021-03-24,2065.3701170000004,2078.209961,2041.555054,2045.060059,2045.060059,1154000
18,2021-03-25,2044.810059,2058.8701170000004,2010.72998,2044.359985,2044.359985,1418900
19,2021-03-26,2038.859985,2050.98999,2014.02002,2035.550049,2035.550049,1493500
20,2021-03-29,2027.880005,2058.429932,2015.619995,2055.949951,2055.949951,1229800
21,2021-03-30,2057.6298829999996,2070.780029,2044.030029,2055.540039,2055.540039,1036600
22,2021-03-31,2059.1201170000004,2093.326904,2056.7451170000004,2068.6298829999996,2068.6298829999996,1459900
23,2021-04-01,2097.949951,2142.939941,2096.889893,2137.75,2137.75,1699000
